sample_id,core_id,site_name,region,sub_region,country_name,country_code,lat,long,alt,depth_start_cm,depth_end_cm,increment_length_cm,mid_increment_depth_cm,topographic_position,slope_position,slope_deg,material,geology,land_use,land_cover,crops,set,years_since_deforestation,BD_gcm3,TC_gkg,TN_gkg,CN_ratio,pH,TRB_gkg,CIA,ECEC_cmolckg,Ti_xrf_perc,Ti_xrf_perc_corrOC,Nb_xrf_ugg,Zr_Ti_ratio_xrf,Si_xrf_perc,Al_xrf_perc,Fe_xrf_perc,Fe_ox_perc,Fe_pyox_perc,Fe_pyoxdcb_perc,Al_ox_perc,Al_pyox_perc,Al_pyoxdcb_perc,Al_ar_gkg,Fe_ar_gkg,Ca_av_cmolckg,Mg_av_cmolckg,sum_bases_cmolckg,Ca_tot_gkg,Mg_tot_gkg,K_tot_gkg,P_tot_gkg,clay_perc,silt_perc,sand_perc
21_cod_ikul_profile04,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,90,110,20,100,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,8.142,1.101,7.39509536784741,4.39,1.63461538461539,98.8000192624441,2.60116046163048,1.404,1.392568632,235.1,0.04269230769230769,12.16,13.36,11.69,1.3416879848977223,1.2985460682773324,9.216581593050334,0.42462656085974865,0.3682168428903061,5.306593035619601,73.4015984015984,122.171578421578,1.83293977768257,0.257352513396362,2.10864942365388,0.384615384615385,0.859140859140859,0.178571428571429,1.18006993006993,75.62128572216643,6.1438702786834405,18.23484399915012
21_cod_ikul_profile05,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,110,150,40,130,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,5.487,0.929,5.90635091496233,4.29,1.50823353293413,98.6697777966662,2.06211254499959,1.819,1.809019147,204.3,0.02934579439252336,14.19,14.79,12.91,1.1553324805853895,0.6837118856375305,9.60039257753233,0.3424606903503783,0.3479706767204564,5.718730592123876,74.1516966067864,119.691866267465,1.03231454314335,0.131808817900077,1.1885168571959699,0.247005988023952,0.820858283433134,0.203343313373254,1.21631736526946,71.2000463761249,9.488860327189464,19.311093296685616
21_cod_ikul_profile06,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,150,200,50,175,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,3.786,0.4,9.465,4.26,1.18321572580645,98.9847521541339,1.81013396948657,1.749,1.742378286,205.6,0.03070325900514579,12.6,12.77,12.84,0.7458104181409659,0.7072466298807071,11.754332308031223,0.2408200788782457,0.25368322165389684,5.533061822352079,66.5826612903226,124.829889112903,0.366579674874849,0.115486903785111,0.489047292904513,0.123487903225806,0.740927419354839,0.1171875,1.20337701612903,75.2546664379308,9.37365955533984,15.371674006729371
21_cod_ikul_profile07,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,200,240,40,220,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,3.447,0.43,8.01627906976744,4.13,1.31454816285998,98.9223041079011,1.92675061793216,1.886,1.879498958,207.4,0.02878048780487804,14.34,14.12,13.19,1.4839453925364616,0.6700025249288601,10.23350093790792,0.2272108206712503,0.22097497379922193,5.559554353615343,72.1077457795432,118.687934458789,0.189414366730182,0.082325554208771,0.287411907589774,0.109235352532274,0.791956305858987,0.165094339622642,1.21027805362463,70.92794839174331,11.416864844986208,17.655186763270464
21_cod_ikul_profile08,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,240,270,30,255,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,2.877,0.413,6.96610169491525,4.11,1.32828031809145,98.8769068086504,2.05654042849719,1.378,1.3740354939999997,225.8,0.04224963715529754,13.68,14.62,11.21,0.8259939009652606,0.7947585005670528,10.319578867212051,0.2895421331949516,0.2981529890865767,5.915337093366818,73.3971172962227,118.085238568588,0.143000572002288,0.060452730498705,0.236405993239631,0.10934393638171,0.767892644135189,0.190109343936382,1.19905566600398,69.78281307187852,9.18958180544126,21.0276051226802
21_cod_ikul_profile09,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,270,300,30,285,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,2.554,0.313,8.15974440894569,4.06,1.27985074626866,98.8876798520613,2.21631522370053,1.39,1.38644994,221.7,0.04002877697841726,14.34,14.95,11.23,0.6021067040564431,0.668653816907855,9.8148279695142,0.2557005403810685,0.3101431890032438,6.320776987256741,70.9825870646766,112.891791044776,0.125871385349102,0.05475585391412,0.202052697818984,0.097014925373134,0.743781094527363,0.17786069651741299,1.13805970149254,71.9778585003771,9.83108459992949,18.191056899693415
21_cod_ikul_profile10,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,300,330,30,315,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,2.428,0.279,8.70250896057347,4.15,1.3178391959799,98.8003935684503,2.18089901601674,1.373,1.369666356,233,0.04298616168973052,14.49,14.97,11.43,0.5505979415047025,0.5227709255030804,10.495312008214054,0.196399841008346,0.26349431747685154,6.0328267471583175,71.8844221105528,118.511306532663,0.129451001298503,0.054865402138022,0.186500335629978,0.123115577889447,0.738693467336683,0.17964824120603,1.17462311557789,75.13477715037509,10.011290312009349,14.85393253761556
21_cod_ikul_profile11,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,330,360,30,345,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,2.434,0.31,7.85161290322581,4.04,1.19278606965174,98.8469990077522,2.31432047476889,1.814,1.809584724,201.7,0.02928335170893054,14.94,14.67,12.71,0.5652560001691818,0.528286066155241,10.315172865321632,0.23839779544825304,0.30864710814180074,6.415538719628337,64.9875621890547,112.85447761194,0.14604125083167,0.054847113670643,0.222175903810467,0.097014925373134,0.694029850746269,0.140547263681592,1.07587064676617,77.81003858964846,9.324803170721156,12.865158239630404
21_cod_ikul_profile12,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,360,390,30,375,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,2.37,0.325,7.29230769230769,4.02,1.22887673956262,98.8539370294365,2.27902875484239,1.812,1.8077055600000005,206.3,0.02895143487858719,13.99,13.51,12.84,0.44544081610340736,0.6217262937335483,10.684019413946144,0.23589879433701827,0.3251076164119431,6.630751224524381,65.3205765407555,119.191103379722,0.119110183887544,0.043760994949981,0.169814775230773,0.096918489065606,0.730616302186879,0.140407554671968,1.09965208747515,74.1804506006436,11.354671182831376,14.464878216525031
21_cod_ikul_profile13,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,390,420,30,405,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,2.273,0.262,8.67557251908397,4.01,1.25372763419483,98.7770133615907,2.39669073362011,1.476,1.472645052,242.3,0.04078590785907859,14.9,15.57,12.06,0.5525287263636489,0.6585329454679855,10.161058432188485,0.21481150252740047,0.27615198737033947,6.50314609800161,66.2897614314116,117.787027833002,0.116023781883269,0.038367401301916,0.157122460580411,0.10934393638171,0.718190854870775,0.140407554671968,1.09965208747515,74.40475900467342,9.590761653092446,16.00447934223413
