"","sample_id","core_id","country_name","country_code","region_name","sub_region_name","site_name","lat","long","alt","depth_start_cm","depth_end_cm","increment_length_cm","mid_increment_depth_cm","topographic_position","slope_position","slope_deg","geology","land_use","years_since_deforestation","crops","set","BD_gcm3","TC_gkg","TN_gkg","CN_ratio","pH","ECEC_cmolckg","Ca_av_cmolckg","Mg_av_cmolckg","sum_bases_cmolckg","TRB_gkg","Ca_tot_gkg","Mg_tot_gkg","K_tot_gkg","P_tot_gkg","resinP_mgkg","FMC","clay_perc","silt_perc","sand_perc","Si_xrf_perc","Al_xrf_perc","Fe_xrf_perc","Fe_ox_perc","Fe_pyox_perc","Fe_pyoxdcb_perc","Al_ox_perc","Al_pyox_perc","Al_pyoxdcb_perc","Al_ar_gkg","Fe_ar_gkg"
"11","cod_kal1_slope_100-110","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,100,110,10,105,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.157,14.6019906364122,1.29719135539859,10.1350069072338,4.37169101645014,9.71411487507609,4.69517791656527,2.85139667521144,7.38958520520857,4.54239675688869,1.07237357596844,2.91911092764475,0.430066990343446,1.35205433069854,NA,NA,70.815731049617,10.7058337469815,18.4784352034015,13.875156989216,13.1691278241918,15.0962603800534,0.447702445644365,0.001,10.4195990035071,0.306903159576619,0.36870447028074,4.68508585950661,58.005701007016,120.269105919311
"12","21_uga_ntu_SL_0-10","21_uga_ntu_SL","Uganda","uga","West Fort Portal","Ntuntu","Ntuntu",0.83641,30.51143,1274,0,10,10,5,"slope","Mid-slope",15,"felsic","cropland","10–20","maize, irish potatoes, beans, ground nuts","slope",1.12,46.1857248524961,4.15503003347813,12.670272247176,4.22750240550877,14.7918591473491,10.9567006855502,1.18431845710267,14.8404579670965,2.61443609437931,3.06934674742583,0.501696954146667,0.115777724174289,1.30404608448431,0.504950495049505,NA,57.8768136846488,14.7879406085062,27.3352457068451,15.4091463856922,9.74556464009982,9.36754718490839,0.238966164736822,0.437755386601686,4.69984500700886,0.294790099386762,0.465220405961598,1.62477795350886,47.198421914375,66.6841863567873
"13","21_uga_ntu_SL_10-20","21_uga_ntu_SL","Uganda","uga","West Fort Portal","Ntuntu","Ntuntu",0.83641,30.51143,1274,10,20,10,15,"slope","Mid-slope",15,"felsic","cropland","10–20","maize, irish potatoes, beans, ground nuts","slope",1.274,43.0693078782249,3.38012578824307,12.9716325106518,4.88,14.3582073578701,9.39475306455884,1.58548683235681,13.7924777852197,2.53384941970154,2.35910298042073,0.001,0.129703837600899,0.616333917624998,NA,NA,56.6512181578018,15.5131189648137,27.8356628773846,14.7867332683712,9.76554682705504,7.81525017437626,0.0949796003071754,1.42061283599623,3.74347759752567,0.498950564487042,0.593916386733586,2.91177518689451,36.2967028574661,63.9392362866034
"14","21_uga_ntu_SL_20-30","21_uga_ntu_SL","Uganda","uga","West Fort Portal","Ntuntu","Ntuntu",0.83641,30.51143,1274,20,30,10,25,"slope","Mid-slope",15,"felsic","cropland","10–20","maize, irish potatoes, beans, ground nuts","slope",1.302,35.3275470791828,2.94530506710798,12.8012339662308,4.54849829874649,9.24712808161769,6.5116479123755,1.92797019276167,8.38209914612091,2.81955444960586,2.23025596846401,0.550748762484406,0.518691942096069,0.914177886738024,NA,NA,55.8688999307208,14.6966375970305,29.4344624722487,14.8806041305121,12.2642386253376,9.33084243498444,0.158203542960048,0.257249654432724,5.53387264334626,0.36800594346447,0.568354257958612,3.33184354676313,41.0582514337882,61.5024180541599
"15","21_uga_nyan_SL_0-10","21_uga_nyan_SL","Uganda","uga","West Fort Portal","Kyenjojo","Nyantunga A",0.596337,30.643281,1343,0,10,10,5,"slope","Mid-slope",11.5,"felsic","cropland","10–20","maize","slope",1.334,33.4861103648821,3.35782429849516,12.3117268791607,5.29794544158587,10.4965403154713,8.19810336884293,1.26073498634204,10.0971445155509,0.001,1.76455690902082,0.001,0.0138401167802487,0.244209750087436,0.954545454545455,NA,56.5856903134754,5.8364741772748,37.5778355092498,16.6086081994978,9.04165056983936,4.39533038428935,0.021150293750574,0.320012839879641,1.85297107458192,0.220668519252378,0.219676555898856,2.86331898563577,26.3880925269644,25.1349732189476
"16","21_uga_nyan_SL_10-20","21_uga_nyan_SL","Uganda","uga","West Fort Portal","Kyenjojo","Nyantunga A",0.596337,30.643281,1343,10,20,10,15,"slope","Mid-slope",11.5,"felsic","cropland","10–20","maize","slope",1.386,17.863549709746,1.45418641302936,11.4219738222321,4.26131884411718,5.36963245311705,4.35079425805518,0.509076717416153,4.89254018712072,3.55227099309515,0.425335847310671,0.897343348992385,0.347247777080412,0.287679445391812,NA,NA,56.7511654911365,6.22056106307059,37.0282734457929,16.0109943270541,9.32633577966155,6.47764641433837,0.413825845704748,0.508784284284621,4.37103370677211,0.295756502098132,0.368223291340891,3.53926830009037,45.9071828531152,47.0914104154024
"17","21_uga_nyan_SL_20-30","21_uga_nyan_SL","Uganda","uga","West Fort Portal","Kyenjojo","Nyantunga A",0.596337,30.643281,1343,20,30,10,25,"slope","Mid-slope",11.5,"felsic","cropland","10–20","maize","slope",1.39,14.3740921091464,1.16699170497746,8.11174271336398,4.57903352573551,3.38080925831142,2.90044079545163,0.001,2.20492689204365,2.05285819518913,0.192333983481747,1.22288651071982,0.0985934949954209,0.702896691521707,NA,NA,62.0070547179696,4.83831574051522,33.1546295415152,15.5928581338749,7.94294706945652,5.56538370010863,0.904770261020376,0.580796367861004,5.59953559911505,0.165557810238366,0.341406897233324,3.87572125860261,31.1125134393839,50.7846720891816
"18","21_uga_kaj_SL_0-10","21_uga_kaj_SL","Uganda","uga","West Fort Portal","Ntuntu","Kajuma-Itara",0.837,30.501111,1265,0,10,10,5,"slope","upper slope",14.5,"felsic","cropland","10–20","maize, sorghum","slope",1.341,45.4095844836745,3.51295166147802,12.2669722618006,5.10960408727589,11.9278491869136,8.58278695712031,2.6077509389298,11.3302458231928,3.43670443587705,2.88107571509281,1.40282158883975,0.602391829797824,1.59118397594042,0.475247524752475,NA,50.4178248613092,17.8087658261461,31.7734093125447,16.0348910700609,12.3971790600977,8.8787922645349,0.703566505108668,0.489620070179812,6.52374592553879,0.382025410830307,0.510880648648001,3.8517391016113,54.4751368598787,74.005084963771
"19","21_uga_kaj_SL_10-20","21_uga_kaj_SL","Uganda","uga","West Fort Portal","Ntuntu","Kajuma-Itara",0.837,30.501111,1265,10,20,10,15,"slope","upper slope",14.5,"felsic","cropland","10–20","maize, sorghum","slope",1.486,27.370394060708,1.83645687670726,11.5292480316904,4.56420346241508,4.98213207859479,3.00134100444842,0.67889720530391,3.51566199678011,4.15885674994621,0.762348498039082,0.759308844940677,0.001,0.579076446250428,NA,NA,69.0847702221564,8.20676143800328,22.7084683398403,14.8702565569849,9.72189451958204,8.45103384636965,0.630944409718692,0.626669831168505,5.55267655999858,0.389533259648665,0.479183048059533,4.83998736004447,56.7751280879194,62.1677691023146
"20","21_uga_kaj_SL_20-30","21_uga_kaj_SL","Uganda","uga","West Fort Portal","Ntuntu","Kajuma-Itara",0.837,30.501111,1265,20,30,10,25,"slope","upper slope",14.5,"felsic","cropland","10–20","maize, sorghum","slope",1.554,22.4550633244451,1.90544071419521,9.97769138313269,4.62148825224596,3.6827166280591,2.5774504962497,0.001,3.15459904155974,2.00591031935549,0.243316882727369,0.4069391815812,0.220252305601949,0.665144149687909,NA,NA,73.0845600794048,11.0387026080901,15.876737312505,13.4712212704623,11.2249442783143,11.0263537347695,0.849502588904037,1.00340640386235,8.29111843520644,0.401072786080692,0.572583184400085,4.42719701797595,65.2367781463056,89.7069195939761
